N,heap,create_time,create_cycle_time,test_cycle_time
10000000, 200000024, 1239.053000, 5.411000, 127.308000
10000000, 200000024, 1197.185000, 16.260000, 91.605000
10000000, 200000024, 1189.740000, 51.298000, 105.444000
20000000, 400000024, 2378.473000, 0.000000, 157.863000
20000000, 400000024, 2443.148000, 0.001000, 133.715000
20000000, 400000024, 2370.935000, 104.371000, 217.864000
30000000, 600000024, 3656.278000, 61.285000, 261.921000
30000000, 600000024, 3623.165000, 46.607000, 291.925000
30000000, 600000024, 3552.568000, 0.000000, 195.270000
40000000, 800000024, 4775.254000, 109.654000, 294.615000
40000000, 800000024, 4696.209000, 0.000000, 270.283000
40000000, 800000024, 4716.643000, 121.515000, 245.862000
50000000, 1000000024, 5932.029000, 248.341000, 517.351000
50000000, 1000000024, 5900.182000, 7.289000, 583.147000
50000000, 1000000024, 5884.695000, 76.381000, 435.779000
60000000, 1200000024, 7075.609000, 0.000000, 666.537000
60000000, 1200000024, 7034.919000, 0.001000, 391.364000
60000000, 1200000024, 7037.477000, 335.918000, 694.715000
70000000, 1400000024, 8196.723000, 0.002000, 456.034000
70000000, 1400000024, 8221.057000, 0.866000, 928.298000
70000000, 1400000024, 8202.994000, 0.000000, 482.087000
10000000, 200000016, 1155.403000, 0.000000, 66.884000
10000000, 200000016, 1125.700000, 0.002000, 58.258000
10000000, 200000016, 1192.283000, 0.001000, 58.114000
10000000, 200000016, 1173.229000, 0.002000, 63.495000
20000000, 400000016, 2287.328000, 134.876000, 133.701000
20000000, 400000016, 2263.517000, 107.457000, 198.743000
